log_id,api_name,reference_id,reference_type,company_code,request_timestamp,request_body,response_timestamp,response_body,error_message,status_code
361021,FaceMatching,2649,id,LI,2025-01-21 13:37:10.908,"{""mode"": ""doc_face"", ""reference_id_1"": ""AE176377845343ECB1FA23C9A9FC9529"", ""reference_id_2"": ""61F31DDF419F4CFF895483F072198296""}",2025-01-21 13:37:10.908,{},Face not found in image,400
361032,FaceMatching,5905,id,LI,2025-01-21 13:38:43.716,"{""mode"": ""doc_face"", ""reference_id_1"": ""8745CB2BAB774C13B9F54DBC31AE2150"", ""reference_id_2"": ""0AB943750C3044E695C71514EEB4058C""}",2025-01-21 13:38:43.716,"{""result"": {""score"": 51.35834696982029, ""face_matched"": true, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361080,FaceMatching,8773,id,LI,2025-01-21 13:43:44.720,"{""mode"": ""doc_face"", ""reference_id_1"": ""88A60A7061FD466F947F13B72A8085C6"", ""reference_id_2"": ""E4D42769BD7F49DBABDBC40F3A36C6A4""}",2025-01-21 13:43:44.720,"{""result"": {""score"": 23.15594670597677, ""face_matched"": false, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361082,FaceMatching,6227,id,LI,2025-01-21 13:43:48.121,"{""mode"": ""doc_face"", ""reference_id_1"": ""8745CB2BAB774C13B9F54DBC31AE2150"", ""reference_id_2"": ""0AB943750C3044E695C71514EEB4058C""}",2025-01-21 13:43:48.121,"{""result"": {""score"": 51.35834696982029, ""face_matched"": true, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361088,FaceMatching,2429,id,LI,2025-01-21 13:44:49.802,"{""mode"": ""doc_face"", ""reference_id_1"": ""D3E7AA4BE08540ED867DF738FE184F5A"", ""reference_id_2"": ""7F47340B58F946ACB2C28B244BB7A108""}",2025-01-21 13:44:49.802,{},Face not found in image,400
361089,FaceMatching,7115,id,LI,2025-01-21 13:44:50.433,"{""mode"": ""doc_face"", ""reference_id_1"": ""6BC35F91F4524B38BA9F4EFA1811CA3D"", ""reference_id_2"": ""3A88A737126245A396A3422534C2A880""}",2025-01-21 13:44:50.433,{},Face not found in image,400
361090,FaceMatching,7003,id,LI,2025-01-21 13:44:52.158,"{""mode"": ""doc_face"", ""reference_id_1"": ""D3E7AA4BE08540ED867DF738FE184F5A"", ""reference_id_2"": ""7F47340B58F946ACB2C28B244BB7A108""}",2025-01-21 13:44:52.158,{},Face not found in image,400
361091,FaceMatching,3272,id,LI,2025-01-21 13:44:52.739,"{""mode"": ""doc_face"", ""reference_id_1"": ""6BC35F91F4524B38BA9F4EFA1811CA3D"", ""reference_id_2"": ""3A88A737126245A396A3422534C2A880""}",2025-01-21 13:44:52.739,{},Face not found in image,400
361103,FaceMatching,4736,id,LI,2025-01-21 13:48:02.535,"{""mode"": ""doc_face"", ""reference_id_1"": ""AE176377845343ECB1FA23C9A9FC9529"", ""reference_id_2"": ""61F31DDF419F4CFF895483F072198296""}",2025-01-21 13:48:02.535,{},Face not found in image,400
361106,FaceMatching,3234,id,LI,2025-01-21 13:48:25.815,"{""mode"": ""doc_face"", ""reference_id_1"": ""88A60A7061FD466F947F13B72A8085C6"", ""reference_id_2"": ""E4D42769BD7F49DBABDBC40F3A36C6A4""}",2025-01-21 13:48:25.815,"{""result"": {""score"": 23.15594670597677, ""face_matched"": false, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361113,FaceMatching,5247,id,LI,2025-01-21 13:49:34.518,"{""mode"": ""doc_face"", ""reference_id_1"": ""125E0BBC7AEC44ECA3D3CDB7D04D0ADD"", ""reference_id_2"": ""535A79D2DD854225B674B3F39513A856""}",2025-01-21 13:49:34.518,"{""result"": {""score"": 52.71939679028294, ""face_matched"": true, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361114,FaceMatching,5498,id,LI,2025-01-21 13:49:36.062,"{""mode"": ""doc_face"", ""reference_id_1"": ""291B9C9575B24F5ABDF65ABF647DC0EB"", ""reference_id_2"": ""A8A4F77031AF415C9038E2BFB20A9754""}",2025-01-21 13:49:36.062,"{""result"": {""score"": 36.45764386873911, ""face_matched"": false, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361115,FaceMatching,2533,id,LI,2025-01-21 13:49:39.400,"{""mode"": ""doc_face"", ""reference_id_1"": ""125E0BBC7AEC44ECA3D3CDB7D04D0ADD"", ""reference_id_2"": ""535A79D2DD854225B674B3F39513A856""}",2025-01-21 13:49:39.400,"{""result"": {""score"": 52.71939679028294, ""face_matched"": true, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361116,FaceMatching,2962,id,LI,2025-01-21 13:49:40.082,"{""mode"": ""doc_face"", ""reference_id_1"": ""291B9C9575B24F5ABDF65ABF647DC0EB"", ""reference_id_2"": ""A8A4F77031AF415C9038E2BFB20A9754""}",2025-01-21 13:49:40.082,"{""result"": {""score"": 36.45764386873911, ""face_matched"": false, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361121,FaceMatching,749,id,LI,2025-01-21 13:52:14.503,"{""mode"": ""doc_face"", ""reference_id_1"": ""FD60439405904E77A806FE073E3BA820"", ""reference_id_2"": ""1B4CADD27A7F48E682E0BA189A262942""}",2025-01-21 13:52:14.503,"{""result"": {""score"": 20.519812874612676, ""face_matched"": false, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361122,FaceMatching,473,id,LI,2025-01-21 13:52:15.568,"{""mode"": ""doc_face"", ""reference_id_1"": ""A43FB2B044634AFCB7CBDC299ABBB9B9"", ""reference_id_2"": ""5F8238692F154DEC801A8669DC57E8BE""}",2025-01-21 13:52:15.568,{},Face not found in image,400
361127,FaceMatching,1388,id,LI,2025-01-21 13:52:49.072,"{""mode"": ""doc_face"", ""reference_id_1"": ""AF686645F1F54B249CBF4F0F84697B22"", ""reference_id_2"": ""F634C032AE4B4C3DBEBAE6C613BA31D7""}",2025-01-21 13:52:49.072,"{""result"": {""score"": 51.586822598408354, ""face_matched"": true, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361136,FaceMatching,9094,id,LI,2025-01-21 13:58:12.964,"{""mode"": ""doc_face"", ""reference_id_1"": ""13F6B800D82448FCACD858BA7FFD38B3"", ""reference_id_2"": ""997325551CA245F8AE56DEBB42E70843""}",2025-01-21 13:58:12.964,"{""result"": {""score"": 21.499444482015384, ""face_matched"": false, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361143,FaceMatching,8621,id,LI,2025-01-21 14:02:01.984,"{""mode"": ""doc_face"", ""reference_id_1"": ""B70F36E79FC94A6BBC2C9C0110158C7B"", ""reference_id_2"": ""B0AB956C6451491BB2F6E36704EA0BD4""}",2025-01-21 14:02:01.984,"{""result"": {""score"": 52.08278979893501, ""face_matched"": true, ""face_detected"": true, ""insufficient_photo_resolution"": false, ""insufficient_document_resolution"": false}, ""message"": ""Success""}",,200
361144,FaceMatching,881,id,LI,2025-01-21 14:02:25.067,"{""mode"": ""doc_face"", ""reference_id_1"": ""0D224C51C09E43A385431AE0CC93E953"", ""reference_id_2"": ""C738331B4F6A410396E055F71BD5A09C""}",2025-01-21 14:02:25.067,{},Face not found in image,400
361152,FaceMatching,8469,id,LI,2025-01-21 14:03:14.075,"{""mode"": ""doc_face"", ""reference_id_1"": ""EE28440AA0A641B3B75F622E21AC1814"", ""reference_id_2"": ""3AF3C14FFD234776AF43A14A1729E65B""}",2025-01-21 14:03:14.075,{},Face not found in image,400
